REGN;C1_2;C2_2
67;РР0;380625,00
67;РР1;380625,00
67;РР2;380625,00
67;ПР0;2560,00
67;ПР1;2560,00
67;ОПР1;141,00
67;СПР1;2419,00
67;ФР1;678,00
67;ОФР1;339,00
67;СФР1;339,00
67;ОПР0;141,00
67;ПР2;2560,00
67;ОПР2;141,00
67;СПР2;2419,00
67;ФР2;678,00
67;ОФР2;339,00
67;СФР2;339,00
67;СПР0;2419,00
67;ФР0;678,00
67;ОФР0;339,00
67;ТР;0,00
67;ОТР;0,00
67;ДТР;0,00
67;ГВР(ТР);0,00
67;ГВР(ВР);0,00
67;ГВР(ПР);0,00
67;ГВР(ФР);0,00
67;СФР0;339,00
67;ВР;27212,00
77;Ар1.0;1215114,00
77;Ар1.1;1215114,00
77;Ар1.2;1215114,00
77;Ар2.0;98666,00
77;Ар2.1;98666,00
77;Ар2.2;98666,00
77;Ар3.0;124027,00
77;Ар3.1;124027,00
77;Ар3.2;124027,00
77;Ар4.0;7746028,00
77;Ар4.1;7483933,00
77;Ар4.2;7483933,00
77;Ар5.0;0,00
77;Ар5.1;0,00
77;Ар5.2;0,00
77;Ариск0;1249777,00
77;БК;186140,00
77;Кф;0,95
77;Кинс;0,00
77;Крд;1137062,00
77;КРФмп0;0,00
77;КРФрп0;0,00
77;КРФсп0;0,00
77;КРФмп1;0,00
77;КРФрп1;0,00
77;КРФсп1;0,00
77;КРФмп2;0,00
77;КРФрп2;0,00
77;КРФсп2;0,00
77;Крис;4138,00
77;Кскр;7761469,00
77;Лам;1488541,00
77;Лат;5860597,00
77;ОД;1569963,00
77;Овм;3880047,00
77;Овт;6196772,00
77;ПК0;2472885,00
77;ПК1;2472885,00
77;ПК2;2472885,00
77;РР0;216532,00
77;РР1;216532,00
77;РР2;216532,00
77;ПР0;7085,43
77;ПР1;7085,43
77;ОПР1;2853,65
77;СПР1;4231,78
77;ФР1;0,00
77;ОФР1;0,00
77;СФР1;0,00
77;ОПР0;2853,65
77;ПР2;7085,43
77;ОПР2;2853,65
77;СПР2;4231,78
77;ФР2;0,00
77;ОФР2;0,00
77;СФР2;0,00
77;СПР0;4231,78
77;ФР0;0,00
77;ОФР0;0,00
77;ТР;0,00
77;ОТР;0,00
77;ДТР;0,00
77;ГВР(ТР);0,00
77;ГВР(ВР);0,00
77;ГВР(ПР);0,00
77;ГВР(ФР);0,00
77;СФР0;0,00
77;ВР;10237,09
85;Ар1.0;389645,00
85;Ар1.2;389645,00
85;Ар2.0;3,00
85;Ар2.2;3,00
85;Ар4.0;703324,00
85;Ар4.2;694397,00
85;Ариск0;389645,00
85;БК;178,00
85;Кф;1,00
85;Лам;201356,00
85;Лат;399903,00
85;Овт;302513,00
85;ПК0;62844,00
85;ПК2;62844,00
85;РР0;16132,00
85;РР2;16132,00
85;ПР0;0,00
85;ПР1;0,00
85;ОПР1;0,00
85;СПР1;0,00
85;ФР1;0,00
85;ОФР1;0,00
85;СФР1;0,00
85;ОПР0;0,00
85;ПР2;0,00
85;ОПР2;0,00
85;СПР2;0,00
85;ФР2;0,00
85;ОФР2;0,00
85;СФР2;0,00
85;СПР0;0,00
85;ФР0;0,00
85;ОФР0;0,00
85;ТР;486,00
85;ОТР;405,00
85;ДТР;81,00
85;ГВР(ТР);0,00
85;ГВР(ВР);0,00
85;ГВР(ПР);0,00
85;ГВР(ФР);0,00
85;СФР0;0,00
85;ВР;804,54
101;Ар1.0;5648022,00
101;Ар1.1;5648022,00
101;Ар1.2;5648022,00
101;Ар2.0;175213,00
101;Ар2.1;175213,00
101;Ар2.2;175213,00
101;Ар3.0;127773,00
101;Ар3.1;127773,00
101;Ар3.2;127773,00
101;Ар4.0;9179540,00
101;Ар4.1;9179540,00
101;Ар4.2;9179540,00
101;Ар5.0;0,00
101;Ар5.1;0,00
101;Ар5.2;0,00
101;Ариск0;9291735,00
101;БК;349625,00
101;Кф;0,90
101;Кинс;8,00
101;Крд;2912145,00
101;КРФмп0;0,00
101;КРФрп0;0,00
101;КРФсп0;0,00
101;КРФмп1;0,00
101;КРФрп1;0,00
101;КРФсп1;0,00
101;КРФмп2;0,00
101;КРФрп2;0,00
101;КРФсп2;0,00
101;Крис;21784,00
101;Кскр;20923418,00
101;Лам;22116162,00
101;Лат;51740550,00
101;ОД;1166781,00
101;Овм;40068826,00
101;Овт;42395146,00
101;ПК0;2443089,00
101;ПК1;2443089,00
101;ПК2;2443089,00
101;РР0;6478863,00
101;РР1;6478863,00
101;РР2;6478863,00
101;ПР0;516969,00
101;ПР1;516969,00
101;ОПР1;85336,00
101;СПР1;431633,00
101;ФР1;1340,00
101;ОФР1;670,00
101;СФР1;670,00
101;ОПР0;85336,00
101;ПР2;516969,00
101;ОПР2;85336,00
101;СПР2;431633,00
101;ФР2;1340,00
101;ОФР2;670,00
101;СФР2;670,00
101;СПР0;431633,00
101;ФР0;1340,00
101;ОФР0;670,00
101;ТР;0,00
101;ОТР;0,00
101;ДТР;0,00
101;ГВР(ТР);0,00
101;ГВР(ВР);0,00
101;ГВР(ПР);0,00
101;ГВР(ФР);0,00
101;СФР0;670,00
101;ВР;0,00
106;Ар1.0;351874,00
106;Ар1.2;351874,00
106;Ар2.0;111826,00
106;Ар2.2;111826,00
106;Ар3.0;0,00
106;Ар3.2;0,00
106;Ар4.0;519924,00
106;Ар4.2;498758,00
106;Ар5.0;0,00
106;Ар5.2;0,00
106;Ариск0;351874,00
106;БК;1073,00
106;Кф;1,02
106;Лам;229812,00
106;Лат;540254,00
106;Овт;578926,00
106;ПК0;827,00
106;ПК2;827,00
106;РР0;46838,00
106;РР2;46838,00
106;ПР0;0,00
106;ПР1;0,00
106;ОПР1;0,00
106;СПР1;0,00
106;ФР1;0,00
106;ОФР1;0,00
106;СФР1;0,00
106;ОПР0;0,00
106;ПР2;0,00
106;ОПР2;0,00
106;СПР2;0,00
106;ФР2;0,00
106;ОФР2;0,00
106;СФР2;0,00
106;СПР0;0,00
106;ФР0;0,00
106;ОФР0;0,00
106;СФР0;0,00
106;ВР;3747,00
121;Ар1.0;50804103,00
121;Ар1.1;50804103,00
121;Ар1.2;50804103,00
121;Ар2.0;296727,00
121;Ар2.1;296727,00
121;Ар2.2;296727,00
121;Ар3.0;0,00
121;Ар3.1;0,00
121;Ар3.2;0,00
121;Ар4.0;11264524,00
121;Ар4.1;11264524,00
121;Ар4.2;11264524,00
121;Ар5.0;0,00
121;Ар5.1;0,00
121;Ар5.2;0,00
121;Ариск0;64093297,00
121;БК;0,00
121;Кф;1,00
121;Кинс;0,00
121;Крд;3888747,00
121;КРФмп0;0,00
121;КРФрп0;0,00
121;КРФсп0;0,00
121;КРФмп1;0,00
121;КРФрп1;0,00
121;КРФсп1;0,00
121;КРФмп2;0,00
121;КРФрп2;0,00
121;КРФсп2;0,00
121;Крис;8457,00
121;Кскр;32127966,00
121;Лам;9033985,00
121;Лат;19531135,00
121;ОД;536709,00
121;Овм;12755533,00
121;Овт;19695995,00
121;ПК0;4200386,00
121;ПК1;4200386,00
121;ПК2;4200386,00
121;РР0;95392763,00
121;РР1;95392763,00
121;РР2;95392763,00
121;ПР0;4163744,00
121;ПР1;4163744,00
121;ОПР1;2830869,00
121;СПР1;1332875,00
121;ФР1;3467677,00
121;ОФР1;1840273,00
121;СФР1;1627404,00
121;ОПР0;2830869,00
121;ПР2;4163744,00
121;ОПР2;2830869,00
121;СПР2;1332875,00
121;ФР2;3467677,00
121;ОФР2;1840273,00
121;СФР2;1627404,00
121;СПР0;1332875,00
121;ФР0;3467677,00
121;ОФР0;1840273,00
121;ТР;0,00
121;ОТР;0,00
121;ДТР;0,00
121;ГВР(ТР);0,00
121;ГВР(ВР);0,00
121;ГВР(ПР);0,00
121;ГВР(ФР);0,00
121;СФР0;1627404,00
121;ВР;0,00
170;Ар1.0;6806289,00
170;Ар1.1;6806289,00
170;Ар1.2;6806289,00
170;Ар2.0;9838,00
170;Ар2.1;9838,00
170;Ар2.2;9838,00
170;Ар3.0;35157,00
170;Ар3.1;35157,00
170;Ар3.2;35157,00
170;Ар4.0;100649872,00
170;Ар4.1;100649872,00
170;Ар4.2;100649872,00
170;Ар5.0;0,00
170;Ар5.1;0,00
170;Ар5.2;0,00
170;Ариск0;6806289,00
170;БК;334668,00
170;Кф;0,93
170;Кинс;0,00
170;Крд;37230453,00
170;КРФмп0;0,00
170;КРФрп0;0,00
170;КРФсп0;0,00
170;КРФмп1;0,00
170;КРФрп1;0,00
170;КРФсп1;0,00
170;КРФмп2;0,00
170;КРФрп2;0,00
170;КРФсп2;0,00
170;Крис;2832,00
170;Кскр;14821043,00
170;Лам;6847195,00
170;Лат;11026018,00
170;ОД;36721126,00
170;Овм;2789001,00
170;Овт;7189026,00
170;ПК0;273923,00
170;ПК1;273923,00
170;ПК2;273923,00
170;РР0;885988,00
170;РР1;885988,00
170;РР2;885988,00
170;ПР0;70879,00
170;ПР1;70879,00
170;ОПР1;70879,00
170;СПР1;0,00
170;ФР1;0,00
170;ОФР1;0,00
170;СФР1;0,00
170;ОПР0;70879,00
170;ПР2;70879,00
170;ОПР2;70879,00
170;СПР2;0,00
170;ФР2;0,00
170;ОФР2;0,00
170;СФР2;0,00
170;СПР0;0,00
170;ФР0;0,00
170;ОФР0;0,00
170;ТР;0,00
170;ОТР;0,00
170;ДТР;0,00
170;ГВР(ТР);0,00
170;ГВР(ВР);0,00
170;ГВР(ПР);0,00
170;ГВР(ФР);0,00
170;СФР0;0,00
170;ВР;0,00
212;Ар1.0;5750344,00
212;Ар1.1;5750344,00
212;Ар1.2;5750344,00
212;Ар2.0;431101,00
212;Ар2.1;431101,00
212;Ар2.2;431101,00
212;Ар3.0;99276,00
212;Ар3.1;99276,00
212;Ар3.2;99276,00
212;Ар4.0;6447674,00
212;Ар4.1;6364256,00
212;Ар4.2;6364256,00
212;Ар5.0;0,00
212;Ар5.1;0,00
212;Ар5.2;0,00
212;Ариск0;6252121,00
212;Кф;0,99
212;Кинс;21069,00
212;Крд;2946112,00
212;КРФмп0;0,00
212;КРФрп0;0,00
212;КРФсп0;108816,00
212;КРФмп1;0,00
212;КРФрп1;0,00
212;КРФсп1;108816,00
212;КРФмп2;0,00
212;КРФрп2;0,00
212;КРФсп2;108816,00
212;Крис;4466,00
212;Кскр;4715776,00
212;Лам;2093536,00
212;Лат;8452516,00
212;ОД;2036354,00
212;Овм;4383446,00
212;Овт;5313993,00
212;ПК0;378491,00
212;ПК1;378491,00
212;ПК2;378491,00
212;РР0;30672,00
212;РР1;30672,00
212;РР2;30672,00
212;ПР0;2432,86
212;ПР1;2432,86
212;ОПР1;2027,38
212;СПР1;405,48
212;ФР1;0,00
212;ОФР1;0,00
212;СФР1;0,00
212;ОПР0;2027,38
212;ПР2;2432,86
212;ОПР2;2027,38
212;СПР2;405,48
212;ФР2;0,00
212;ОФР2;0,00
212;СФР2;0,00
212;СПР0;405,48
212;ФР0;0,00
212;ОФР0;0,00
212;ТР;20,92
212;ОТР;17,43
212;ДТР;3,49
212;СФР0;0,00
212;ВР;0,00
232;Ар1.0;461727,00
232;Ар1.1;461727,00
232;Ар1.2;461727,00
232;Ар2.0;560894,00
232;Ар2.1;560894,00
232;Ар2.2;560894,00
232;Ар4.0;1872321,00
