,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
841,101363.0,,101363.0,19.0,,19.0,,,,492241.0,,492241.0,,,,101363.0,,1.0,,,,,,,,,,,,,,100661.0,217369.0,,,162360.0,44042.0,,44042.0,2275.0,,2275.0,182.0,,,,,,,182.0,182.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,
842,721015.0,,721015.0,19226.0,,19226.0,,,,945407.0,,913400.0,,,,721015.0,66500.0,0.98,,,,,,,,,,,,,,248744.0,855388.0,,,572952.0,334911.0,,334911.0,20111.0,,20111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608.85,,,,,,,,
843,4341317.0,4341317.0,4341317.0,159105.0,159105.0,159105.0,154157.0,154157.0,154157.0,23522669.0,22900105.0,22900105.0,,,,4341317.0,74238.0,0.92,530324.0,12223976.0,,,,,,,,,,60701.0,10383475.0,5900735.0,7089343.0,652488.0,15545398.0,18548276.0,1965327.0,1965327.0,1965327.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
85,491369.0,,491369.0,1.0,,1.0,,,,662039.0,,654933.0,,,,491369.0,2408.0,0.99,,,,,,,,,,,,,,,554218.0,,,365761.0,42030.0,,42030.0,27317.0,,27317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2185.39,1821.16,364.23,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
857,3418384.0,,3418384.0,34411.0,,34411.0,,,,1210832.0,,1189135.0,,,,3418384.0,,0.99,,,,,,,,,,,,,,1675171.0,3779802.0,,,3063370.0,55.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
874,286795.0,,286795.0,10935.0,,10935.0,,,,795206.0,,795206.0,,,,286795.0,493.0,0.99,,,,,,,,,,,,,,111733.0,350733.0,,,231878.0,139772.0,,139772.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
875,1242113.0,,1242113.0,2939.0,,2939.0,3250.0,,3250.0,924132.0,,820495.0,0.0,,0.0,1242113.0,0.0,0.99,,,,,,,,,,,,,,572008.0,1368175.0,,,968529.0,76104.0,,76104.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
902,1878214.0,1878214.0,1878214.0,212628.0,212628.0,212628.0,,,,5909995.0,5486671.0,5486671.0,,,,1878214.0,62495.0,1.02,110.0,1946577.0,,,,,,,,,,38634.0,5347755.0,2763448.0,7250295.0,332961.0,3988712.0,5474762.0,991874.0,991874.0,991874.0,3719917.0,3719917.0,3719917.0,297593.34,297593.34,62331.01,235262.33,0.0,0.0,0.0,62331.01,297593.34,62331.01,235262.33,0.0,0.0,0.0,235262.33,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,
903,880553.0,880553.0,880553.0,37688.0,37688.0,37688.0,,,,1990489.0,1809153.0,1809153.0,,,,880553.0,,1.01,,1172370.0,,,,,,,,,,14830.0,326231.0,422925.0,1177888.0,512350.0,722852.0,807884.0,27357.0,27357.0,27357.0,24450.0,24450.0,24450.0,1956.0,1956.0,1956.0,,,,,1956.0,1956.0,1956.0,,,,,,,,,,,,,,,,,,,,,,,,
912,32212307.0,32212307.0,32212307.0,721361.0,721361.0,721361.0,0.0,0.0,0.0,202384203.0,202065559.0,202065559.0,7910.0,7910.0,7910.0,32212307.0,1539330.0,1.0,6912867.0,120281961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118246.0,167188796.0,12505404.0,18782348.0,21118991.0,42911235.0,63393667.0,59478212.0,59478212.0,59478212.0,886230.0,886230.0,886230.0,36172.78,36172.78,36172.78,0.0,3831.54,1915.77,1915.77,36172.78,36172.78,36172.78,0.0,3831.54,1915.77,1915.77,0.0,3831.54,1915.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915.77,30894.08,,,,,,,,
918,17643033.0,17643033.0,17643033.0,3319909.0,3319909.0,3319909.0,0.0,0.0,0.0,75432060.0,73382160.0,73382160.0,0.0,0.0,0.0,17643033.0,138203.0,1.0,4335.0,56194079.0,,,,,,,,,,316174.0,19673737.0,27392671.0,30012129.0,31210739.0,22383067.0,30444038.0,7037064.0,7037064.0,7037064.0,6813.0,6813.0,6813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,257.0,288.0,,,,,0.0,0.0,,,,,,,,
931,1985903.0,1985903.0,1985903.0,5244.0,5244.0,5244.0,,,,8115221.0,8076387.0,8076387.0,,,,1985903.0,66943.0,0.98,,2617093.0,,,,,,,,,,5507.0,6916715.0,732466.0,2353707.0,3124914.0,647404.0,1198007.0,745784.0,745784.0,745784.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,
933,996686.0,,860075.0,2625.0,,2625.0,,,,580941.0,,663094.0,,,,996686.0,,1.0,,,,,,,,,,,,,,610779.0,1158513.0,,,824211.0,88202.0,,88202.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
937,1294038.0,,1294038.0,58173.0,,58173.0,0.0,,0.0,1435835.0,,1213313.0,0.0,,0.0,1401443.0,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,1925559.0,2405776.0,,,2001442.0,171068.0,,171068.0,353583.0,,353583.0,28286.64,0.0,0.0,0.0,0.0,0.0,0.0,5007.06,28286.64,5007.06,23279.58,0.0,0.0,0.0,23279.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
96,522907.0,,522907.0,33681.0,,33681.0,,,,1373071.0,,1406458.0,,,,522907.0,,1.0,,,,,,,,,,,,,,271740.0,663989.0,,,559350.0,815555.0,,815555.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
963,271537539.0,271537539.0,271537539.0,30705723.0,30705723.0,30705723.0,79.0,79.0,79.0,409465904.0,407744482.0,407744482.0,,,,271537539.0,6243160.0,1.0,9412878.0,281595429.0,,,,,,,,,,874033.0,246451101.0,86739683.0,189673608.0,148305432.0,194158153.0,445317050.0,97826458.0,97826458.0,97826458.0,34946404.0,34946404.0,34946404.0,2688995.51,2688995.51,1585389.42,1103606.09,,,,1585389.42,2688995.51,1585389.42,1103606.09,,,,1103606.09,,,106716.84,77401.12,29315.72,,,,,,,,,,,,,,
965,471387.0,,471387.0,38416.0,,38416.0,,,,1645448.0,,1637891.0,,,,471387.0,,1.0,,,,,,,,,,,,,,710761.0,1070836.0,,,602885.0,177241.0,,177241.0,1523.0,,1523.0,121.83,121.83,121.83,,,,,121.83,121.83,121.83,,,,,,,,,,,,,,,,,,,,,,,,
969,1826866.0,1826866.0,1826866.0,2860.0,2860.0,2860.0,0.0,0.0,0.0,819620.0,819620.0,819620.0,0.0,0.0,0.0,1826866.0,0.0,1.03,0.0,86571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826454.0,608858.0,2430061.0,240951.0,688072.0,914950.0,330965.0,330965.0,330965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
990,236119.0,,236119.0,,,,,,,515253.0,,515250.0,,,,236119.0,,1.38,,,,,,,,,,,,,,235863.0,240972.0,,,180426.0,79358.0,,79358.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
