date,kop_dep
2019-12-20,1384194.78
2019-12-25,1436247.43
2020-01-10,1145556.23
2020-01-15,2368688.72
2020-01-20,1581724.68
2020-01-28,1773805.95
2020-02-05,1750730.32
2020-02-10,2215487.16
2020-02-20,2303751.54
2020-02-25,2310231.65
2020-02-28,2053563.77
2020-03-05,1902526.55
2020-03-10,1912453.43
2020-03-20,2501622.22
2020-03-25,2860509.99
2020-04-01,1834005.45
2020-04-10,1211620.37
2020-04-15,1236654.37
2020-04-20,1254042.39
2020-04-25,789882.8
2020-04-28,774150.43
2020-05-01,670077.52
2020-05-05,675148.2
2020-05-10,897922.37
2020-05-15,687417.48
2020-05-20,683200.99
2020-05-25,854870.51
2020-05-28,909358.64
2020-06-01,895955.14
2020-06-05,943561.43
2020-06-10,2128644.62
2020-06-15,1591854.4
2020-06-25,1271010.82
2020-07-10,1444741.23
2020-07-15,1439472.27
2020-07-20,1831875.99
2020-07-28,1570877.45
2020-08-05,2756395.28
2020-08-10,1825027.12
