date,res_gol
2018-07-28,78167.0
2018-08-01,77411.0
2018-08-05,77411.0
2018-08-10,77411.0
2018-08-15,77411.0
2018-08-20,77411.0
2018-08-25,77411.0
2018-08-28,77411.0
2018-09-01,77265.0
2018-09-05,77265.0
2018-09-10,77265.0
2018-09-15,77265.0
2018-09-20,77265.0
2018-09-25,77265.0
2018-09-28,77265.0
2018-10-01,77491.0
2018-10-05,77491.0
2018-10-10,77491.0
2018-10-15,77491.0
2018-10-20,77491.0
2018-10-25,77491.0
2018-10-28,77491.0
2018-11-01,81055.0
2018-11-05,81055.0
2018-11-10,81055.0
2018-11-15,81055.0
2018-11-20,81055.0
2018-11-25,81055.0
2018-11-28,81055.0
2018-12-01,82925.0
2018-12-05,82925.0
2018-12-10,82925.0
2018-12-15,82925.0
2018-12-20,82925.0
2018-12-25,82925.0
2018-12-28,82925.0
2019-01-01,86903.0
2019-01-05,86903.0
2019-01-10,86903.0
2019-01-15,86903.0
2019-01-20,86903.0
2019-01-25,86903.0
2019-01-28,86903.0
2019-02-01,89460.0
2019-02-05,89460.0
2019-02-10,89460.0
2019-02-15,89460.0
2019-02-20,89460.0
2019-02-25,89460.0
2019-02-28,89460.0
2019-03-01,91641.0
2019-03-05,91641.0
2019-03-10,91641.0
2019-03-15,91641.0
2019-03-20,91641.0
2019-03-25,91641.0
2019-03-28,91641.0
2019-04-01,90011.0
2019-04-05,90011.0
2019-04-10,90011.0
2019-04-15,90011.0
2019-04-20,90011.0
2019-04-25,90011.0
2019-04-28,90011.0
2019-05-01,90008.0
2019-05-05,90008.0
2019-05-10,90008.0
2019-05-15,90008.0
2019-05-20,90008.0
2019-05-25,90008.0
2019-05-28,90008.0
2019-06-01,89882.0
2019-06-05,89882.0
2019-06-10,89882.0
2019-06-15,89882.0
2019-06-20,89882.0
2019-06-25,89882.0
2019-06-28,89882.0
2019-07-01,100278.0
2019-07-05,100278.0
2019-07-10,100278.0
2019-07-15,100278.0
2019-07-20,100278.0
2019-07-25,100278.0
2019-07-28,100278.0
2019-08-01,101923.0
2019-08-05,101923.0
2019-08-10,101923.0
2019-08-15,101923.0
2019-08-20,101923.0
2019-08-25,101923.0
2019-08-28,101923.0
2019-09-01,109477.0
2019-09-05,109477.0
2019-09-10,109477.0
2019-09-15,109477.0
2019-09-20,109477.0
2019-09-25,109477.0
2019-09-28,109477.0
2019-10-01,107846.0
2019-10-05,107846.0
2019-10-10,107846.0
2019-10-15,107846.0
2019-10-20,107846.0
2019-10-25,107846.0
2019-10-28,107846.0
2019-11-01,107903.0
2019-11-05,107903.0
2019-11-10,107903.0
2019-11-15,107903.0
2019-11-20,107903.0
2019-11-25,107903.0
2019-11-28,107903.0
2019-12-01,105896.0
2019-12-05,105896.0
2019-12-10,105896.0
2019-12-15,105896.0
2019-12-20,105896.0
2019-12-25,105896.0
2019-12-28,105896.0
2020-01-01,110376.0
2020-01-05,110376.0
2020-01-10,110376.0
2020-01-15,110376.0
2020-01-20,110376.0
2020-01-25,110376.0
2020-01-28,110376.0
2020-02-01,115818.0
2020-02-05,115818.0
2020-02-10,115818.0
2020-02-15,115818.0
2020-02-20,115818.0
2020-02-25,115818.0
2020-02-28,115818.0
2020-03-01,119752.0
2020-03-05,119752.0
2020-03-10,119752.0
2020-03-15,119752.0
2020-03-20,119752.0
2020-03-25,119752.0
2020-03-28,119752.0
2020-04-01,119840.0
2020-04-05,119840.0
2020-04-10,119840.0
2020-04-15,119840.0
2020-04-20,119840.0
2020-04-25,119840.0
2020-04-28,119840.0
2020-05-01,126084.0
2020-05-05,126084.0
2020-05-10,126084.0
2020-05-15,126084.0
2020-05-20,126084.0
2020-05-25,126084.0
2020-05-28,126084.0
2020-06-01,127566.0
2020-06-05,127566.0
2020-06-10,127566.0
2020-06-15,127566.0
2020-06-20,127566.0
2020-06-25,127566.0
2020-06-28,127566.0
2020-07-01,130790.0
2020-07-05,130790.0
2020-07-10,130790.0
2020-07-15,130790.0
2020-07-20,130790.0
2020-07-25,130790.0
2020-07-28,130790.0
2020-08-01,144322.0
