date,act_bal
2014-03-25,1050.0274193548385
2014-03-28,1050.0274193548385
2014-04-01,1060.5583333333334
2014-04-05,1060.5583333333334
2014-04-10,1060.5583333333334
2014-04-15,1060.5583333333334
2014-04-20,1060.5583333333334
2014-04-25,1060.5583333333334
2014-04-28,1060.5583333333334
2014-05-01,1060.4935483870966
2014-05-05,1060.4935483870966
2014-05-10,1060.4935483870966
2014-05-15,1060.4935483870966
2014-05-20,1060.4935483870966
2014-05-25,1060.4935483870966
2014-05-28,1060.4935483870966
2014-06-01,1078.405
2014-06-05,1078.405
2014-06-10,1078.405
2014-06-15,1078.405
2014-06-20,1078.405
2014-06-25,1078.405
2014-06-28,1078.405
2014-07-01,1043.0354838709677
2014-07-05,1043.0354838709677
2014-07-10,1043.0354838709677
2014-07-15,1043.0354838709677
