date,res_res
2018-02-20,447735.0
2018-02-25,447735.0
2018-02-28,447735.0
2018-03-01,453644.0
2018-03-05,453644.0
2018-03-10,453644.0
2018-03-15,453644.0
2018-03-20,453644.0
2018-03-25,453644.0
2018-03-28,453644.0
2018-04-01,457995.0
2018-04-05,457995.0
2018-04-10,457995.0
2018-04-15,457995.0
2018-04-20,457995.0
2018-04-25,457995.0
2018-04-28,457995.0
2018-05-01,459884.0
2018-05-05,459884.0
2018-05-10,459884.0
2018-05-15,459884.0
2018-05-20,459884.0
2018-05-25,459884.0
2018-05-28,459884.0
2018-06-01,456640.0
2018-06-05,456640.0
2018-06-10,456640.0
2018-06-15,456640.0
2018-06-20,456640.0
2018-06-25,456640.0
2018-06-28,456640.0
2018-07-01,456749.0
2018-07-05,456749.0
2018-07-10,456749.0
2018-07-15,456749.0
2018-07-20,456749.0
2018-07-25,456749.0
2018-07-28,456749.0
2018-08-01,458032.0
2018-08-05,458032.0
2018-08-10,458032.0
2018-08-15,458032.0
2018-08-20,458032.0
2018-08-25,458032.0
2018-08-28,458032.0
2018-09-01,460615.0
2018-09-05,460615.0
2018-09-10,460615.0
2018-09-15,460615.0
2018-09-20,460615.0
2018-09-25,460615.0
2018-09-28,460615.0
2018-10-01,459163.0
2018-10-05,459163.0
2018-10-10,459163.0
2018-10-15,459163.0
2018-10-20,459163.0
2018-10-25,459163.0
2018-10-28,459163.0
2018-11-01,459563.0
2018-11-05,459563.0
2018-11-10,459563.0
2018-11-15,459563.0
2018-11-20,459563.0
2018-11-25,459563.0
2018-11-28,459563.0
2018-12-01,462104.0
2018-12-05,462104.0
2018-12-10,462104.0
2018-12-15,462104.0
2018-12-20,462104.0
2018-12-25,462104.0
2018-12-28,462104.0
2019-01-01,468495.0
2019-01-05,468495.0
2019-01-10,468495.0
2019-01-15,468495.0
2019-01-20,468495.0
2019-01-25,468495.0
2019-01-28,468495.0
2019-02-01,475945.0
2019-02-05,475945.0
2019-02-10,475945.0
2019-02-15,475945.0
2019-02-20,475945.0
2019-02-25,475945.0
2019-02-28,475945.0
2019-03-01,482610.0
2019-03-05,482610.0
2019-03-10,482610.0
2019-03-15,482610.0
2019-03-20,482610.0
2019-03-25,482610.0
2019-03-28,482610.0
2019-04-01,487803.0
2019-04-05,487803.0
2019-04-10,487803.0
2019-04-15,487803.0
2019-04-20,487803.0
2019-04-25,487803.0
2019-04-28,487803.0
2019-05-01,491088.0
2019-05-05,491088.0
2019-05-10,491088.0
2019-05-15,491088.0
2019-05-20,491088.0
2019-05-25,491088.0
2019-05-28,491088.0
2019-06-01,495232.0
2019-06-05,495232.0
2019-06-10,495232.0
2019-06-15,495232.0
2019-06-20,495232.0
2019-06-25,495232.0
2019-06-28,495232.0
2019-07-01,518363.0
2019-07-05,518363.0
2019-07-10,518363.0
2019-07-15,518363.0
2019-07-20,518363.0
2019-07-25,518363.0
2019-07-28,518363.0
2019-08-01,519797.0
2019-08-05,519797.0
2019-08-10,519797.0
2019-08-15,519797.0
2019-08-20,519797.0
2019-08-25,519797.0
2019-08-28,519797.0
2019-09-01,529083.0
2019-09-05,529083.0
2019-09-10,529083.0
2019-09-15,529083.0
2019-09-20,529083.0
2019-09-25,529083.0
2019-09-28,529083.0
2019-10-01,530923.0
2019-10-05,530923.0
2019-10-10,530923.0
2019-10-15,530923.0
2019-10-20,530923.0
2019-10-25,530923.0
2019-10-28,530923.0
2019-11-01,540917.0
2019-11-05,540917.0
2019-11-10,540917.0
2019-11-15,540917.0
