date,bas_dep
2016-01-28,51590202.0
2016-02-01,52340319.0
2016-02-05,52340319.0
2016-02-10,52340319.0
2016-02-15,52340319.0
2016-02-20,52340319.0
2016-02-25,52340319.0
2016-02-28,52340319.0
2016-03-01,52566606.0
2016-03-05,52566606.0
2016-03-10,52566606.0
2016-03-15,52566606.0
2016-03-20,52566606.0
2016-03-25,52566606.0
2016-03-28,52566606.0
2016-04-01,50846687.0
2016-04-05,50846687.0
2016-04-10,50846687.0
2016-04-15,50846687.0
2016-04-20,50846687.0
2016-04-25,50846687.0
2016-04-28,50846687.0
2016-05-01,50500386.0
2016-05-05,50500386.0
2016-05-10,50500386.0
2016-05-15,50500386.0
2016-05-20,50500386.0
2016-05-25,50500386.0
2016-05-28,50500386.0
2016-06-01,51236307.0
2016-06-05,51236307.0
2016-06-10,51236307.0
2016-06-15,51236307.0
2016-06-20,51236307.0
2016-06-25,51236307.0
2016-06-28,51236307.0
2016-07-01,50713317.0
2016-07-05,50713317.0
2016-07-10,50713317.0
2016-07-15,50713317.0
2016-07-20,50713317.0
2016-07-25,50713317.0
2016-07-28,50713317.0
2016-08-01,50883820.0
2016-08-05,50883820.0
2016-08-10,50883820.0
2016-08-15,50883820.0
2016-08-20,50883820.0
2016-08-25,50883820.0
2016-08-28,50883820.0
2016-09-01,50635060.0
2016-09-05,50635060.0
2016-09-10,50635060.0
2016-09-15,50635060.0
2016-09-20,50635060.0
2016-09-25,50635060.0
2016-09-28,50635060.0
2016-10-01,50779175.0
2016-10-05,50779175.0
2016-10-10,50779175.0
2016-10-15,50779175.0
2016-10-20,50779175.0
2016-10-25,50779175.0
2016-10-28,50779175.0
2016-11-01,50699256.0
2016-11-05,50699256.0
2016-11-10,50699256.0
2016-11-15,50699256.0
2016-11-20,50699256.0
2016-11-25,50699256.0
2016-11-28,50699256.0
2016-12-01,50975042.0
2016-12-05,50975042.0
2016-12-10,50975042.0
2016-12-15,50975042.0
2016-12-20,50975042.0
2016-12-25,50975042.0
2016-12-28,50975042.0
2017-01-01,50113510.0
2017-01-05,50113510.0
2017-01-10,50113510.0
2017-01-15,50113510.0
2017-01-20,50113510.0
2017-01-25,50113510.0
2017-01-28,50113510.0
2017-02-01,51004557.0
2017-02-05,51004557.0
2017-02-10,51004557.0
2017-02-15,51004557.0
2017-02-20,51004557.0
2017-02-25,51004557.0
2017-02-28,51004557.0
2017-03-01,50841970.0
2017-03-05,50841970.0
2017-03-10,50841970.0
2017-03-15,50841970.0
2017-03-20,50841970.0
2017-03-25,50841970.0
2017-03-28,50841970.0
2017-04-01,50366464.0
2017-04-05,50366464.0
2017-04-10,50366464.0
2017-04-15,50366464.0
2017-04-20,50366464.0
2017-04-25,50366464.0
2017-04-28,50366464.0
2017-05-01,50468656.0
2017-05-05,50468656.0
2017-05-10,50468656.0
2017-05-15,50468656.0
2017-05-20,50468656.0
2017-05-25,50468656.0
2017-05-28,50468656.0
2017-06-01,50844499.0
2017-06-05,50844499.0
2017-06-10,50844499.0
2017-06-15,50844499.0
2017-06-20,50844499.0
2017-06-25,50844499.0
2017-06-28,50844499.0
2017-07-01,51678914.0
2017-07-05,51678914.0
2017-07-10,51678914.0
2017-07-15,51678914.0
2017-07-20,51678914.0
2017-07-25,51678914.0
2017-07-28,51678914.0
2017-08-01,51381806.0
2017-08-05,51381806.0
2017-08-10,51381806.0
2017-08-15,51381806.0
2017-08-20,51381806.0
2017-08-25,51381806.0
2017-08-28,51381806.0
2017-09-01,51665859.0
2017-09-05,51665859.0
2017-09-10,51665859.0
2017-09-15,51665859.0
2017-09-20,51665859.0
2017-09-25,51665859.0
2017-09-28,51665859.0
2017-10-01,51871294.0
2017-10-05,51871294.0
2017-10-10,51871294.0
2017-10-15,51871294.0
2017-10-20,51871294.0
2017-10-25,51871294.0
2017-10-28,51871294.0
2017-11-01,51846452.0
2017-11-05,51846452.0
2017-11-10,51846452.0
2017-11-15,51846452.0
2017-11-20,51846452.0
2017-11-25,51846452.0
2017-11-28,51846452.0
2017-12-01,52478392.0
2017-12-05,52478392.0
2017-12-10,52478392.0
2017-12-15,52478392.0
2017-12-20,52478392.0
2017-12-25,52478392.0
2017-12-28,52478392.0
2018-01-01,53117284.0
2018-01-05,53117284.0
