,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
2252,"801168,00","801168,00","801168,00","284,00","284,00","284,00","0,00","0,00","0,00","869800,00","869800,00","869800,00","0,00","0,00","0,00","801168,00","0,00","0,99","0,00","751181,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","6204,00","3392590,00","587732,00","1095332,00","68418,00","282531,00","482023,00","318284,00","318284,00","318284,00","5060,00","5060,00","5060,00","404,78","404,78","404,78","0,00","0,00","0,00","0,00","404,78","404,78","404,78","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
2254,"128114,00",,"128114,00","1091,00",,"1091,00","0,00",,"0,00","576887,00",,"576887,00","0,00",,"0,00","128114,00","0,00","1,07",,,"0,00","0,00","0,00",,,,"0,00","0,00","0,00",,,"157683,00","310789,00",,,"446204,00","618721,00",,"618721,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
2268,"10966415,00","10966415,00","10966415,00","1592325,00","1592325,00","1592325,00","67827,00","67827,00","67827,00","99996766,00","99981823,00","99981823,00","0,00","0,00","0,00","10966415,00","0,00","0,99","0,00","34322761,00","0,00","0,00","12412941,00","0,00","0,00","12412941,00","0,00","0,00","12412941,00","103827,00","39021461,00","14265592,00","29422194,00","1507950,00","61005666,00","71716023,00","8114979,00","8114979,00","8114979,00","11667875,00","11667875,00","11667875,00","933430,00","933430,00","126927,00","806503,00","0,00","0,00","0,00","126927,00","933430,00","126927,00","806503,00","0,00","0,00","0,00","806503,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
2271,"1785905,00",,"1785905,00","70227,00",,"70227,00","0,00",,"0,00","4480576,00",,"4480076,00","0,00",,"0,00","1785905,00","55548,00","1,00",,,,,,,,,,,,,,,"2764714,00",,,"1481874,00","1175457,00",,"1175457,00","167393,00",,"167393,00","13391,45","0,00","0,00","0,00","0,00","0,00","0,00","11550,46","13391,45","11550,46","1840,99","0,00","0,00","0,00","1840,99","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
2272,"163911414,00","163911414,00","163911414,00","26592604,00","26592604,00","26592604,00","27205,00","27205,00","27205,00","657460333,00","658238712,00","655916738,00","0,00","0,00","0,00","163911414,00","32011683,00","1,00","6263954,00","361270634,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","69775,00","205938454,00","234290891,00","269331871,00","69815518,00","434815899,00","558174403,00","39345646,00","39345646,00","39345646,00","17887063,00","17887063,00","17887063,00","1145479,00","1145479,00","721297,00","424182,00","27712,00","13856,00","13856,00","721297,00","1145479,00","721297,00","424182,00","27712,00","13856,00","13856,00","424182,00","27712,00","13856,00","8346,00","1,00","8345,00","0,00","0,00","0,00","0,00","13856,00","249428,00",,,,,,,,
2275,"136264619,00","136264619,00","136264619,00","5727997,00","5727997,00","5727997,00","0,00","0,00","0,00","209268478,00","204125994,00","204125994,00","0,00","0,00","0,00","136264619,00","15003803,00","1,00","6020264,00","151623921,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","305572,00","119787423,00","27067092,00","63476153,00","97559648,00","152974483,00","236243316,00","38369550,00","38369550,00","38369550,00","64875485,00","64875485,00","64875485,00","4767597,53","4767597,53","1074204,16","3691909,79","223637,38","105449,70","110523,16","1074204,16","4767597,53","1074204,16","3691909,79","223637,38","105449,70","110523,16","3691909,79","223637,38","105449,70","101315,14","33436,67","27511,58","40366,89","4882,57","1483,58","7664,52","110523,16","97488,75",,,,,,,,
2289,"91392334,00","91392334,00","91392334,00","535860,00","535860,00","535860,00","0,00","0,00","0,00","152903580,00","151484419,00","151484419,00","0,00","0,00","0,00","91392334,00","84911748,00","1,00","10977096,00","40676955,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1339915,00","109777723,00","15202442,00","23696010,00","9071,00","24393021,00","55889109,00","72459015,00","72459015,00","72459015,00","8664000,00","8664000,00","8664000,00","0,00","0,00","0,00","0,00","693120,00","346560,00","346560,00","0,00","0,00","0,00","0,00","693120,00","346560,00","346560,00","0,00","693120,00","346560,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","346560,00","0,00",,,,,,,,
23,"12226,00","12226,00","12226,00","2606074,00","2606074,00","2606074,00","0,00","0,00","0,00","9221060,00","9070563,00","9070563,00","0,00","0,00","0,00","12226,00","59631300,00","1,01","4770504,00","4566437,00",,,,,,,,,,"8132,00","53229976,00","65613,00","13050721,00","34246520,00","84624,00","86695,00","1600832,00","1600832,00","1600832,00","48836063,00","48836063,00","48836063,00","0,00","0,00","0,00","0,00","219976,00","109988,00","109988,00","0,00","0,00","0,00","0,00","219976,00","109988,00","109988,00","0,00","219976,00","109988,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","109988,00","3686909,00",,,,,,,,
2304,"24027063,00","24027063,00","24027063,00","20151,00","20151,00","20151,00",,,,"72673286,00","72673286,00","72673286,00",,,,"24027063,00",,"1,00",,"34485541,00",,,,,,,,,,"5365,00","67104629,00","2128643,00","8254918,00","29250558,00","3242075,00","7444944,00","5491256,00","5491256,00","5491256,00","2379287,00","2379287,00","2379287,00","190342,95","190342,95","54555,24","135787,71",,,,"54555,24","190342,95","54555,24","135787,71",,,,"135787,71",,,,,,,,,,,,,,,,,,,
2306,"32071067,00","32071067,00","32071067,00","12880411,00","12880411,00","12880411,00","40140,00","40140,00","40140,00","92905978,00","92837260,00","92837260,00","0,00","0,00","0,00","32533726,00","767503,00","0,92","1377574,00","88926405,00","0,00","0,00","6576612,00","0,00","0,00","6576612,00","0,00","0,00","6576612,00","453706,00","27019929,00","30348976,00","48670056,00","29144293,00","64489634,00","100577349,00","8909126,00","8909126,00","8909126,00","109738,00","109738,00","109738,00","5453,00","5453,00","2235,00","3218,00","2820,00","1410,00","1410,00","2235,00","5453,00","2235,00","3218,00","2820,00","1410,00","1410,00","3218,00","2820,00","1410,00","506,00","116,00","390,00","0,00","0,00","0,00","0,00","1410,00","0,00",,,,,,,,
2307,"11102531,00","11102531,00","11102531,00","458351,00","458351,00","458351,00","0,00","0,00","0,00","39177179,00","38861168,00","38861168,00","0,00","0,00","0,00","19723179,00","992545,00","1,00","397018,00","25404629,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","39819,00","18825898,00","15658911,00","26036916,00","12057521,00","17454580,00","30130138,00","25660139,00","25660139,00","25660139,00","1793648,00","1793648,00","1793648,00","47121,67","47121,67","45118,32","2003,35","48620,96","24310,48","24310,48","45118,32","47121,67","45118,32","2003,35","48620,96","24310,48","24310,48","2003,35","48620,96","24310,48","6,91","5,76","1,15","0,00","0,00","0,00","0,00","24310,48","47742,27",,,,,,,,
