,Ариск0,АРБ0,АРС0,АРЦК0,АРпр0,АРБ1,АРС1,АРЦК1,АРпр1,АРБ2,АРС2,АРЦК2,АРпр2,АРФЛ,АРкорп,АРМБР,АРМСП,БК2.0,БК2.1,БК2.2,Метод,ПК2.0,ПК2.1,ПК2.2,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Кскр,Лам,Лат,ОД,Овм,Овт,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ар1.0,Ар1.2,Ар2.0,Ар2.2,Ар4.0,Ар4.2,БК,ПК0,ПК2,Ар1.1,Ар2.1,Ар4.1,ПК1,Ар3.0,Ар3.1,Ар3.2,Ар5.0,Ар5.2,Ар5.1,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
2272,151730666.0,104593801.0,12622770.0,1025700.0,36125645.0,104593801.0,12622770.0,1025700.0,41017444.0,104593801.0,12622770.0,1025700.0,38017444.0,299637988.0,234151513.0,0.0,5638082.0,35711435.0,35711435.0,35711435.0,2.0,36208599.0,36208599.0,36208599.0,1.0,9678439.0,465391794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147219886.0,351211242.0,382739361.0,117720866.0,595384577.0,653773391.0,21234025.0,21234025.0,21234025.0,1142322.0,1142322.0,1133278.0,9044.0,14561.0,7281.0,7280.0,1133278.0,1142322.0,1133278.0,9044.0,14561.0,7281.0,7280.0,9044.0,14561.0,7281.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,7280.0,541830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2275,51681180.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,0.0,156696158.0,0.0,0.0,14905140.0,0.0,0.0,14905140.0,0.0,0.0,14905140.0,134658482.0,62056515.0,132449035.0,103644609.0,170362526.0,199979845.0,91894161.0,91894161.0,91894161.0,7092461.48,7092461.48,1722858.8,5369602.68,247387.69,123693.9,123693.79,1722858.8,7092461.48,1722858.8,5369602.68,247387.69,123693.9,123693.79,5369602.68,247387.69,123693.9,2718.58,882.34,1836.24,0.0,8965.14,0.0,0.0,123693.79,8965.14,52100895.0,52100895.0,2053874.0,2053874.0,235139400.0,230043318.0,9869698.0,34463582.0,34463582.0,52100895.0,2053874.0,230043318.0,34463582.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2289,93026004.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,9140646.0,70283646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52863181.0,14426370.0,24311244.0,2065013.0,38953386.0,61695677.0,10229063.0,10229063.0,10229063.0,0.0,0.0,0.0,0.0,693280.0,346640.0,346640.0,0.0,0.0,0.0,0.0,693280.0,346640.0,346640.0,0.0,693280.0,346640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346640.0,125045.0,93026004.0,93026004.0,491478.0,491478.0,127470646.0,125679919.0,29415688.0,40994446.0,40994446.0,93026004.0,491478.0,125679919.0,40994446.0,3270763.0,3270763.0,3270763.0,0.0,0.0,0.0,,,,,,,,
2304,35665133.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,0.0,30420989.0,,,,,,,,,,45152494.0,2571462.0,5598568.0,29488731.0,4052450.0,7012527.0,1115301.0,1115301.0,1115301.0,,,,,,,,,,,,,,,,,,,,,,,,,,89224.11,35665133.0,35665133.0,34730.0,34730.0,66215967.0,66215967.0,56638.0,2264128.0,2264128.0,35665133.0,34730.0,66215967.0,2264128.0,8266781.0,8266781.0,8266781.0,0.0,0.0,0.0,,,,,,,,
2306,28414647.0,8974171.0,942237.0,762671.0,17313979.0,8974171.0,942237.0,762671.0,17231737.0,8974171.0,942237.0,762671.0,17231737.0,87304317.0,26292338.0,7958.0,93914.0,1938388.0,1938388.0,1938388.0,2.0,17078035.0,17078035.0,17078035.0,0.97,1858779.0,107272785.0,0.0,0.0,6639458.0,0.0,0.0,6639458.0,0.0,0.0,6639458.0,32114311.0,27782050.0,43776481.0,23682924.0,56017090.0,78286327.0,47950.0,47950.0,47950.0,3278.0,3278.0,2007.0,1271.0,10.0,5.0,5.0,2007.0,3278.0,2007.0,1271.0,10.0,5.0,5.0,1271.0,10.0,5.0,548.0,118.0,430.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307,21932559.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,495020.0,23542350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15550259.0,20546227.0,30450685.0,5552176.0,14135113.0,26107891.0,1687929.0,1687929.0,1687929.0,92757.82,92757.82,18533.84,74223.98,19633.84,9816.92,9816.92,18533.84,92757.82,18533.84,74223.98,19633.84,9816.92,9816.92,74223.98,19633.84,9816.92,8.76,7.3,1.46,0.0,0.0,0.0,0.0,9816.92,22633.89,7672302.0,7672302.0,457630.0,457630.0,51893667.0,51611016.0,1237550.0,5172938.0,5172938.0,7672302.0,457630.0,51611016.0,5172938.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2309,12647044.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,0.0,5475405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6749143.0,18069007.0,32205953.0,2538534.0,25754663.0,29246157.0,913742.0,913742.0,913742.0,31158.48,31158.48,31158.48,0.0,0.0,0.0,0.0,31158.48,31158.48,31158.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41940.89,10478662.0,10478662.0,228226.0,228226.0,9160542.0,9160542.0,0.0,0.0,0.0,10478662.0,228226.0,9160542.0,0.0,9804721.0,9804721.0,9804721.0,0.0,0.0,0.0,,,,,,,,
2312,90209385.0,3402849.0,915998.0,81151.0,20622474.0,3402849.0,915998.0,81151.0,19421965.0,3402849.0,915998.0,81151.0,19421965.0,106876786.0,41383217.0,0.0,358828.0,8766940.0,8766940.0,8766940.0,2.0,61569249.0,61569249.0,61569249.0,0.98,980.0,194425040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72466983.0,54518343.0,94617802.0,13196033.0,95748910.0,136978731.0,416663.0,416663.0,416663.0,33333.0,33333.0,6362.0,26971.0,0.0,0.0,0.0,6362.0,33333.0,6362.0,26971.0,0.0,0.0,0.0,26971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,710249.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.19,0.0,38500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168089.0,1968885.0,2369506.0,157569.0,2249402.0,2266003.0,91201.0,91201.0,91201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7296.09,710249.0,710249.0,97485.0,97485.0,1388673.0,1386527.0,0.0,1487075.0,1487075.0,710249.0,97485.0,1386527.0,1487075.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
236,150846.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,193616.0,193844.0,,,227332.0,35140.0,,35140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2811.2,150846.0,150846.0,3.0,3.0,266020.0,77230.0,12195.0,401490.0,401490.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,
