,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Метод,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,АРБ0,АРС0,АРЦК0,АРпр0,АРБ1,АРС1,АРЦК1,АРпр1,АРБ2,АРС2,АРЦК2,АРпр2,АРФЛ,АРкорп,АРМБР,АРМСП,БК2.0,БК2.1,БК2.2,ПК2.0,ПК2.1,ПК2.2,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
3475,17300960.0,17300960.0,17300960.0,258316.0,258316.0,258316.0,4129154.0,4129154.0,4129154.0,31941171.0,31941171.0,31941171.0,0.0,0.0,0.0,17300960.0,0.0,1.0,1.0,0.0,14588860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37187561.0,9987875.0,24742288.0,850873.0,29102240.0,30688770.0,490329.0,490329.0,490329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3479,6033481.0,6033481.0,6033481.0,1255175.0,1255175.0,1255175.0,0.0,0.0,0.0,4058808.0,4058808.0,4058808.0,0.0,0.0,0.0,6033481.0,0.0,1.0,0.98,0.0,1155015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7480053.0,5095436.0,12070279.0,1406003.0,6235287.0,12660761.0,209745.0,209745.0,209745.0,3872200.0,3872200.0,3872200.0,309776.0,309776.0,56170.0,253606.0,0.0,0.0,0.0,56170.0,309776.0,56170.0,253606.0,0.0,0.0,0.0,253606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3481,114039.0,114039.0,114039.0,24511.0,24511.0,24511.0,0.0,0.0,0.0,1930829.0,1930829.0,1930829.0,0.0,0.0,0.0,114039.0,204738.0,1.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1486265.0,251134.0,324221.0,24124.0,14083.0,22290.0,290489.0,290489.0,290489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3482,3187653.0,3187653.0,3187653.0,1641303.0,1641303.0,1641303.0,0.0,0.0,0.0,35720265.0,35720265.0,35720265.0,0.0,0.0,0.0,3187653.0,0.0,1.0,1.0,0.0,24751781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2836392.0,9461611.0,10493529.0,22050000.0,13577100.0,14226422.0,856661.0,856661.0,856661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3483,133886.0,,,8315.0,,,,,,61849.0,,,,,,133886.0,,,,,,,,,,,,,,,,,,,,,,,,2711.0,,,0.0,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,216.88,,,,,,,,,,,,,,,,,,,,,,,,,,,173883.0,128189.0,,
3486,573513.0,,,13871.0,,,0.0,,,345708.0,,,0.0,,,573513.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,19767.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,668731.0,461489.0,0.0,
3490,17942847.0,17942847.0,17942847.0,58065.0,58065.0,58065.0,0.0,0.0,0.0,824367.0,824367.0,824367.0,0.0,0.0,0.0,17942847.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929394.0,18525767.0,29365438.0,0.0,3116498.0,10437429.0,0.0,0.0,0.0,7111131.0,7111131.0,7111131.0,568890.46,568890.46,348490.14,220400.32,0.0,0.0,0.0,348490.14,568890.46,348490.14,220400.32,0.0,0.0,0.0,220400.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3494,23000866.0,23000866.0,23000866.0,8006250.0,8006250.0,8006250.0,0.0,0.0,0.0,11359002.0,11359002.0,11359002.0,0.0,0.0,0.0,23000866.0,343.0,1.0,1.0,0.0,4401014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18076352.0,12610609.0,38581598.0,669425.0,5239960.0,42468369.0,0.0,0.0,0.0,33846.0,33846.0,33846.0,2707.68,2707.68,2707.68,0.0,0.0,0.0,0.0,2707.68,2707.68,2707.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3495,177763.0,177763.0,177763.0,106000.0,106000.0,106000.0,,,,2137736.0,2137736.0,2137736.0,,,,177763.0,31525.0,1.0,1.0,,1245404.0,,,,,,,,,,2225279.0,273612.0,673880.0,,634216.0,637676.0,90824.0,90824.0,90824.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,1545078.0,,1545078.0,499162.0,,499162.0,0.0,,0.0,731403.0,,731403.0,0.0,,0.0,1545078.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,3490217.0,4542588.0,,,4576946.0,0.0,,0.0,142088.0,,142088.0,10589.51,0.0,0.0,0.0,0.0,0.0,0.0,10589.51,10589.51,10589.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
