,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
2964,638706.0,638706.0,638706.0,4213.0,4213.0,4213.0,,,,989496.0,959475.0,959475.0,,,,663401.0,,1.0,,488257.0,,,,,,,,,,12114.0,759020.0,489765.0,1887513.0,15854.0,874660.0,1121559.0,362164.0,362164.0,362164.0,940225.0,940225.0,940225.0,74664.0,74664.0,9278.0,65386.0,536.0,268.0,268.0,9278.0,74664.0,9278.0,65386.0,536.0,268.0,268.0,65386.0,536.0,268.0,18.0,5.0,13.0,,,,,268.0,,,,,,,,,
2982,181275.0,181275.0,181275.0,277365.0,277365.0,277365.0,,,,2713658.0,2495778.0,2495778.0,,,,181275.0,,0.99,,150673.0,,,,,,,,,,2545.0,2442641.0,487578.0,1693770.0,629.0,569586.0,631709.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2989,2580502.0,2580502.0,2580502.0,2760893.0,2760893.0,2760893.0,0.0,0.0,0.0,62523637.0,61582605.0,61582605.0,0.0,0.0,0.0,2580502.0,0.0,1.02,0.0,50332317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119121.0,42269331.0,22447301.0,26221020.0,45170904.0,18728469.0,20201639.0,9110030.0,9110030.0,9110030.0,21920060.0,21920060.0,21920060.0,1753604.83,1753604.83,307468.26,1446136.57,0.0,0.0,0.0,307468.26,1753604.83,307468.26,1446136.57,0.0,0.0,0.0,1446136.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2990,362362.0,,362362.0,780.0,,780.0,,,,676064.0,,671207.0,,,,362362.0,,1.0,,,,,,,,,,,,,,101480.0,416981.0,,,142681.0,14365.0,,14365.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2995,1162297.0,1162297.0,1162297.0,87515.0,87515.0,87515.0,,,,2444003.0,2351742.0,2351742.0,,,,1162297.0,,1.0,,1337725.0,,,,,,,,,,9518.0,1534948.0,622960.0,1450150.0,191188.0,910269.0,1088014.0,398707.0,398707.0,398707.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2996,81351.0,,81351.0,18314.0,,18314.0,0.0,,0.0,478719.0,,478719.0,0.0,,0.0,81351.0,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,175967.0,201453.0,,,300090.0,4260.0,,4260.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2997,1399879.0,1399879.0,1399879.0,233701.0,233701.0,233701.0,,,,2366124.0,2177671.0,2177671.0,,,,2017876.0,,1.0,,794925.0,,,,,,,,,,8791.0,3167111.0,4521342.0,6682487.0,76224.0,5199805.0,5675900.0,245783.0,245783.0,245783.0,2935633.0,2935633.0,2935633.0,231604.61,231604.61,31892.47,199712.14,3246.04,1623.02,1623.02,31892.47,231604.61,31892.47,199712.14,3246.04,1623.02,1623.02,199712.14,3246.04,1623.02,,,,,,,,1623.02,,,,,,,,,
2998,8471656.0,8471656.0,8471656.0,364666.0,364666.0,364666.0,2156704.0,2156704.0,2156704.0,42184054.0,41311807.0,41311807.0,0.0,0.0,0.0,13253796.0,3448318.0,0.99,565258.0,26276919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21727.0,42313925.0,11107012.0,25633262.0,3252298.0,10744354.0,31821042.0,15834871.0,15834871.0,15834871.0,16929281.0,16929281.0,16929281.0,1222161.68,1222161.68,157909.2,1064252.48,64518.11,27845.98,32622.12,157909.2,1222161.68,157909.2,1064252.48,64518.11,27845.98,32622.12,1064252.48,64518.11,27845.98,0.0,0.0,0.0,0.0,41047.12,0.0,4050.01,32622.12,67662.68,,,,,,,,
3001,3100932.0,3100932.0,3100932.0,2387358.0,2387358.0,2387358.0,34007.0,34007.0,34007.0,12846783.0,12259796.0,12259796.0,,,,3100932.0,,1.0,1.0,3238520.0,,,,,,,,,,20558.0,11026342.0,4479732.0,6907590.0,563213.0,8718924.0,11777973.0,1756551.0,1756551.0,1756551.0,856170.0,856170.0,856170.0,48957.14,48957.14,6615.83,42341.31,693.04,346.52,346.52,6615.83,48957.14,6615.83,42341.31,693.04,346.52,346.52,42341.31,693.04,346.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.52,18843.45,,,,,,,,
3010,143905.0,,,2.0,,,0.0,,,365515.0,,,0.0,,,143905.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217223.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79482.0,146293.0,28410.0,0.0,
