,Ариск0,АРБ0,АРС0,АРЦК0,АРпр0,АРБ1,АРС1,АРЦК1,АРпр1,АРБ2,АРС2,АРЦК2,АРпр2,АРФЛ,АРкорп,АРМБР,АРМСП,БК2.0,БК2.1,БК2.2,Метод,ПК2.0,ПК2.1,ПК2.2,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Кскр,Лам,Лат,ОД,Овм,Овт,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ар1.0,Ар1.2,Ар2.0,Ар2.2,Ар4.0,Ар4.2,БК,ПК0,ПК2,Ар1.1,Ар2.1,Ар4.1,ПК1,Ар3.0,Ар3.1,Ар3.2,Ар5.0,Ар5.2,Ар5.1,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
3490,12702596.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1838154.0,26373033.0,39420283.0,488574.0,5694603.0,14898238.0,6821422.0,6821422.0,6821422.0,545713.77,545713.77,279962.76,265751.01,0.0,0.0,0.0,279962.76,545713.77,279962.76,265751.01,0.0,0.0,0.0,265751.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12702596.0,12702596.0,39661.0,39661.0,1585743.0,1585743.0,0.0,0.0,0.0,12702596.0,39661.0,1585743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3494,19708689.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,0.0,5617815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20559996.0,11326541.0,60490298.0,1352870.0,9343772.0,64979338.0,134178.0,134178.0,134178.0,10734.24,10734.24,10734.24,0.0,0.0,0.0,0.0,10734.24,10734.24,10734.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19708689.0,19708689.0,12618565.0,12618565.0,7243691.0,7243691.0,226960.0,0.0,0.0,19708689.0,12618565.0,7243691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3495,311568.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1206938.0,,,,,,,,,,2006224.0,1945091.0,2346998.0,,1903866.0,1905739.0,185088.0,185088.0,185088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14807.0,311568.0,311568.0,106000.0,106000.0,3698037.0,3698037.0,41743.0,,,311568.0,106000.0,3698037.0,,,,,,,,,,,,,,,
3499,1909885.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,2864251.0,3713004.0,,,3735612.0,135405.0,,135405.0,10669.95,0.0,0.0,0.0,0.0,0.0,0.0,10669.95,10669.95,10669.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.46,1909885.0,1909885.0,216815.0,216815.0,969976.0,969976.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,
3500,1884393.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.97,0.0,21664954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2292046.0,2648641.0,4484536.0,10047739.0,3236528.0,5211860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884393.0,1884393.0,1420619.0,1420619.0,35515452.0,35568115.0,429710.0,7654.0,7654.0,1884393.0,1420619.0,35568115.0,7654.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3505,222661.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.07,,,,,,,,,,,,,,261677.0,,,27370.0,30963.0,,30963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2477.0,222661.0,222661.0,,,132042.0,132042.0,475.0,37523.0,37523.0,,,,,,,,,,,,,,,,,,
3507,89860.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,89768.0,91591.0,,,27973.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89860.0,89860.0,,,247683.0,247683.0,,22319.0,22319.0,,,,,,,,,,,,,,,,,,
3508,28434.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28434.0,,132228.0,,122177.0,,,,,,,,,,,,,,,,,,,721057.0,549504.0,,
3509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,310910.0,,789031.0
3510,17207162.0,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17413193.0,,58304.0,,1481159.0,,120010.0,0.0,,,,,,0.0,,,1959.0,,,0.0,0.0,0.0,0.0,18052797.0,11630808.0,0.0,
3511,321683.0,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551653.0,,31822.0,,67212.0,,0.0,0.0,,,,,,0.0,,,120.0,,,0.0,0.0,0.0,0.0,744358.0,560853.0,0.0,
3512,728992.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9352.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.14,728992.0,,49507.0,,86018.0,,0.0,0.0,,,,,,150.0,,,0.0,,,0.0,0.0,0.0,0.0,991583.0,902644.0,0.0,
3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,26477.0,,186173.0
3515,3701548.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,0.0,8162432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10860130.0,6127936.0,12244234.0,2475412.0,8364622.0,13824569.0,198337.0,198337.0,198337.0,15866.95,15866.95,15866.95,0.0,0.0,0.0,0.0,15866.95,15866.95,15866.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3701548.0,3701548.0,1748065.0,1748065.0,10459584.0,10459584.0,0.0,142034.0,142034.0,3701548.0,1748065.0,10459584.0,142034.0,4057750.0,4057750.0,4057750.0,0.0,0.0,0.0,,,,,,,,
3516,292459.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,16892.0,345321.0,,,343532.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292459.0,292459.0,558.0,558.0,1669055.0,1669055.0,99090.0,269.0,269.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,
3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4733854.0,,5269626.0
3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,209537.0,,281336.0
3519,85825.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.99,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,114510.0,422083.0,,,48490.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85825.0,85825.0,56567.0,56567.0,1326007.0,1326007.0,10705.0,5909.0,5909.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,
3520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,274.0,,92211.0
3522,2077454.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2077454.0,,234532.0,,833049.0,,20620.0,,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,3514210.0,3131956.0,0.0,
3523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,476548.0,,637021.0
3524,2574357.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2574357.0,,618.0,,4287.0,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,2535785.0,2130380.0,0.0,
3525,15025836.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,0.0,6256110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9204150.0,8329974.0,28340564.0,1319576.0,5373468.0,31562810.0,168948.0,168948.0,168948.0,13515.84,13515.84,13515.84,0.0,0.0,0.0,0.0,13515.84,13515.84,13515.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15025836.0,15025836.0,3787698.0,3787698.0,1330077.0,1330077.0,0.0,3837913.0,3837913.0,15025836.0,3787698.0,1330077.0,3837913.0,771.0,771.0,771.0,0.0,0.0,0.0,,,,,,,,
