,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
2796,538263.0,,538263.0,0.0,,0.0,0.0,,0.0,58540.0,,44646.0,,,,538263.0,0.0,0.98,,,,,,,,,,,,,,,573040.0,,,225495.0,56859.0,,56859.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2799,570690.0,570690.0,570690.0,11477.0,11477.0,11477.0,0.0,0.0,0.0,1001127.0,1001127.0,1001127.0,0.0,0.0,0.0,570690.0,0.0,0.99,0.0,116651.0,0.0,0.0,14578.0,0.0,0.0,14578.0,0.0,0.0,14578.0,34534.0,307446.0,4633906.0,5135537.0,17889.0,2257265.0,2461183.0,57213.0,57213.0,57213.0,158479.0,158479.0,158479.0,12678.29,12678.29,2671.96,10006.33,0.0,0.0,0.0,2671.96,12678.29,2671.96,10006.33,0.0,0.0,0.0,10006.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2802,843108.0,,843108.0,138323.0,,138323.0,1147.0,,1147.0,563265.0,,523800.0,0.0,,0.0,843108.0,0.0,0.99,,,,,,,,,,,,,,,1341615.0,,,802118.0,72012.0,,72012.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2807,983480.0,983480.0,983480.0,15465.0,15465.0,15465.0,13032.0,13032.0,13032.0,4040765.0,4040765.0,4040765.0,0.0,0.0,0.0,983480.0,26198.0,0.98,143550.0,1568652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28582.0,5075189.0,731356.0,1451568.0,1310307.0,1634966.0,1327162.0,1499807.0,1499807.0,1499807.0,1594493.0,1594493.0,1594493.0,127559.43,127559.43,18630.19,108929.24,0.0,0.0,0.0,18630.19,127559.43,18630.19,108929.24,0.0,0.0,0.0,108929.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2816,18539185.0,18539185.0,18539185.0,43458.0,43458.0,43458.0,,,,16085947.0,15291118.0,15291118.0,,,,18539185.0,,0.98,,12616310.0,,,,,,,,,,25604.0,5679463.0,9339071.0,30069268.0,737569.0,25420475.0,30976954.0,1573520.0,1573520.0,1573520.0,4626605.0,4626605.0,4626605.0,319884.53,319884.53,84775.39,235109.14,34252.32,17126.16,17126.16,84775.39,319884.53,84775.39,235109.14,34252.32,17126.16,17126.16,235109.14,34252.32,17126.16,1.14,0.95,0.19,,,,,17126.16,15990.42,,,,,,,,
2830,165366.0,,165366.0,3.0,,3.0,0.0,,0.0,612739.0,,612739.0,0.0,,0.0,165366.0,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,176347.0,202972.0,,,174263.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2838,571016.0,571016.0,571016.0,90467.0,90467.0,90467.0,10070.0,10070.0,10070.0,1410170.0,1410170.0,1410170.0,0.0,0.0,0.0,571016.0,47503.0,0.9,0.0,169000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5420.0,994761.0,650566.0,1495086.0,80617.0,924587.0,949155.0,282615.0,282615.0,282615.0,66095.0,66095.0,66095.0,5287.59,5287.59,3651.18,1636.41,0.0,0.0,0.0,3651.18,5287.59,3651.18,1636.41,0.0,0.0,0.0,1636.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2846,1211338.0,1211338.0,1211338.0,5252.0,5252.0,5252.0,0.0,0.0,0.0,215684.0,215684.0,215684.0,0.0,0.0,0.0,1211338.0,0.0,0.93,0.0,445281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8636.0,551912.0,426107.0,1580605.0,132022.0,794931.0,805645.0,828621.0,828621.0,828621.0,47027.0,47027.0,47027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3762.12,,,,,,,,
2853,700441.0,,700441.0,47375.0,,47375.0,0.0,,0.0,482700.0,,482700.0,0.0,,0.0,700441.0,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,270656.0,364239.0,,,537666.0,63035.0,,63035.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2860,3644703.0,3644703.0,3644703.0,5102.0,5102.0,5102.0,,,,1887115.0,1823400.0,1823400.0,,,,3644703.0,,1.12,,560469.0,,,,,,,,,,13233.0,604336.0,1463244.0,5004344.0,968904.0,2171736.0,3104761.0,145293.0,145293.0,145293.0,27563.0,27563.0,27563.0,,,,,,,,,,,,,,,,,,,,,,,,,,2205.06,,,,,,,,
